order_id,order_datetime,channel,store_format,city,city_zone,department,category,brand,sku_id,base_unit_price_aed,discount_aed,unit_price_after_discount_aed,quantity,line_value_aed,promo_used,promo_code_type,ad_channel,campaign,payment_method,device_type,delivery_type,basket_size_items,returned,return_reason,return_value_aed,stock_out_flag,loyalty_member,user_id,age,gender,nationality_group,hour_of_day,day_of_week,order_month
LULU-000001,5/24/2025 17:45,Online App,Web DC,Dubai,Downtown,Grocery,Fresh Produce,Pepsi,SKU-906309,23.36,3.31,20.05,4,80.2,1,Percent,Google Search,FreshersUni,Card,Android,Same-Day,12,0,,0,0,1,CUST-06078,24,Male,SE Asian,17,Saturday,2025-05
LULU-000002,8/28/2025 13:17,Online App,Web DC,Abu Dhabi,Corniche,Fashion,Footwear,Levi's,SKU-979234,181.82,28.69,153.13,2,306.26,1,BOGO,TikTok,SummerHeat,Card,Android,Next-Day,4,0,,0,0,1,CUST-10961,26,Male,South Asian,13,Thursday,2025-08
LULU-000003,10/8/2025 0:10,In-Store POS,Express,Abu Dhabi,Khalifa City,Grocery,Fresh Produce,Kellogg's,SKU-689633,37.51,5.57,31.94,2,63.88,1,BOGO,Referral,MidnightMadness,Card,N/A,Carryout,5,0,,0,0,1,CUST-05475,45,Male,Arab Expat (non-GCC),0,Wednesday,2025-10
LULU-000004,6/15/2025 20:23,Online App,Web DC,Abu Dhabi,Al Shawamekh,Fashion,Kidswear,Levi's,SKU-154422,294.9,67.24,227.66,1,227.66,1,Percent,Facebook,WeekendSaver,Card,Android,Next-Day,11,0,,0,0,0,CUST-11566,34,Male,Western Expat,20,Sunday,2025-06
LULU-000005,10/5/2025 12:39,In-Store POS,Hypermarket,Dubai,Bur Dubai,Pharmacy,Vitamins,Strepsils,SKU-688211,231.14,19.62,211.52,1,211.52,1,Percent,Email,BackToSchool2025,Card,N/A,Carryout,6,0,,0,0,1,CUST-07662,25,Female,Other,12,Sunday,2025-10
LULU-000006,9/25/2025 10:18,In-Store POS,Express,Dubai,JLT,Electronics,Tablets,Lenovo,SKU-101751,2653.07,444.11,2208.96,1,2208.96,1,Percent,SMS,BackToSchool2025,Cash,N/A,Carryout,6,0,,0,0,1,CUST-08750,37,Female,South Asian,10,Thursday,2025-09
LULU-000007,9/23/2025 4:34,In-Store POS,Express,Abu Dhabi,Khalifa City,Grocery,Snacks,Almarai,SKU-495936,79.06,2.81,76.25,7,533.75,1,Percent,SMS,NationalDay,Card,N/A,Carryout,6,0,,0,0,1,CUST-10914,37,Female,Western Expat,4,Tuesday,2025-09
LULU-000008,9/30/2025 8:01,Online App,Web DC,Dubai,Bur Dubai,Home & Living,Kitchenware,Ikea-ish,SKU-867598,147,23.48,123.52,3,370.56,1,Percent,Google Search,WeekendSaver,Wallet,Android,Next-Day,3,0,,0,0,0,CUST-11944,37,Male,South Asian,8,Tuesday,2025-09
LULU-000009,5/28/2025 0:48,Online App,Hypermarket,Dubai,Marina,Electronics,Accessories,Apple,SKU-197270,741.84,183.55,558.29,1,558.29,1,Percent,YouTube,MidnightMadness,Card,Android,Next-Day,5,0,,0,0,0,CUST-10833,30,Female,South Asian,0,Wednesday,2025-05
LULU-000010,10/10/2025 23:40,In-Store POS,Hypermarket,Dubai,Marina,Home & Living,Bedding,Prestige,SKU-405976,567.83,88.96,478.87,1,478.87,1,FreeDelivery,SMS,MidnightMadness,Card,N/A,Carryout,2,0,,0,0,0,CUST-02544,23,Female,Western Expat,23,Friday,2025-10
LULU-000011,6/11/2025 7:51,Online App,Web DC,Sharjah,University Area,Bakery Counter,Sandwiches,Lulu Bakery,SKU-592089,60.32,10.66,49.66,9,446.94,1,Percent,Facebook,WeekendSaver,Card,Desktop,Same-Day,4,0,,0,0,1,CUST-03623,33,Male,Arab Expat (non-GCC),7,Wednesday,2025-06
LULU-000012,8/28/2025 9:14,In-Store POS,Hypermarket,Abu Dhabi,Yas Island,Fashion,Menswear,BrandX,SKU-460146,22.11,3.26,18.85,2,37.7,1,FreeDelivery,Referral,BackToSchool2025,Card,N/A,Carryout,2,0,,0,0,0,CUST-11227,31,Female,SE Asian,9,Thursday,2025-08
LULU-000013,5/7/2025 1:42,Online App,Web DC,Dubai,Business Bay,Grocery,Household,Nestlé,SKU-961166,47.29,1.7,45.59,4,182.36,1,FreeDelivery,Email,ResidentsOnly,Wallet,Android,Same-Day,10,0,,0,0,1,CUST-04977,35,Female,UAE National,1,Wednesday,2025-05
LULU-000014,8/28/2025 0:50,In-Store POS,Hypermarket,Dubai,Mirdif,Grocery,Personal Care,Rainbow,SKU-692250,14.52,2.05,12.47,1,12.47,1,Percent,Referral,Ramadan2025,Cash,N/A,Carryout,7,0,,0,0,1,CUST-09618,40,Male,Western Expat,0,Thursday,2025-08
LULU-000015,5/27/2025 3:38,Online App,Web DC,Dubai,JBR,Home & Living,Furniture,Ikea-ish,SKU-906647,688.2,100.4,587.8,2,1175.6,1,Percent,YouTube,NationalDay,Card,Android,Next-Day,8,0,,0,0,1,CUST-02175,31,Female,South Asian,3,Tuesday,2025-05
LULU-000016,7/23/2025 1:02,In-Store POS,Hypermarket,Ras Al Khaimah,Old Town,Grocery,Baby,Al Ain,SKU-818103,78.18,8.64,69.54,4,278.16,1,Percent,Outdoor,Ramadan2025,Wallet,N/A,Carryout,6,0,,0,0,0,CUST-03861,29,Female,Western Expat,1,Wednesday,2025-07
LULU-000017,4/20/2025 14:32,In-Store POS,Hypermarket,Sharjah,Suburb,Grocery,Household,Rainbow,SKU-799041,36.19,1.6,34.59,3,103.77,1,Percent,Outdoor,FreshersUni,Cash,N/A,Carryout,13,0,,0,0,1,CUST-05411,38,Male,South Asian,14,Sunday,2025-04
LULU-000018,8/1/2025 23:40,Online App,Web DC,Abu Dhabi,Khalifa City,Grocery,Personal Care,Nestlé,SKU-800941,49,0.07,48.93,15,733.95,1,Percent,YouTube,LunchRush,Wallet,Android,Same-Day,9,0,,0,0,0,CUST-10671,35,Male,SE Asian,23,Friday,2025-08
